date,results,slot 1,slot 2,slot 3,slot 4,slot 5,slot 6,sorted1,sorted2,sorted3,sorted4,sorted5,sorted6
1/15/2017,22-52-43-54-04-18,22,52,43,54,4,18,4,18,22,43,52,54
1/20/2017,40-43-39-21-52-46,40,43,39,21,52,46,21,39,40,43,46,52
1/22/2017,39-09-30-20-34-01,39,9,30,20,34,1,1,9,20,30,34,39
1/27/2017,05-41-53-12-16-46,5,41,53,12,16,46,5,12,16,41,46,53
1/29/2017,23-47-34-14-52-57,23,47,34,14,52,57,14,23,34,47,52,57
2/3/2017,17-30-06-13-43-31,17,30,6,13,43,31,6,13,17,30,31,43
2/5/2017,47-06-36-48-10-25,47,6,36,48,10,25,6,10,25,36,47,48
2/10/2017,12-05-01-18-22-35,12,5,1,18,22,35,1,5,12,18,22,35
2/12/2017,32-47-18-26-57-58,32,47,18,26,57,58,18,26,32,47,57,58
2/14/2017,03-34-06-13-07-19,3,34,6,13,7,19,3,6,7,13,19,34
2/17/2017,41-44-08-26-15-01,41,44,8,26,15,1,1,8,15,26,41,44
2/19/2017,09-03-40-53-27-20,9,3,40,53,27,20,3,9,20,27,40,53
2/21/2017,35-48-29-56-17-33,35,48,29,56,17,33,17,29,33,35,48,56
2/24/2017,49-22-39-42-25-47,49,22,39,42,25,47,22,25,39,42,47,49
2/26/2017,11-34-46-02-27-45,11,34,46,2,27,45,2,11,27,34,45,46
2/28/2017,11-26-20-19-56-31,11,26,20,19,56,31,11,19,20,26,31,56
3/3/2017,17-36-44-32-19-33,17,36,44,32,19,33,17,19,32,33,36,44
3/5/2017,21-34-58-14-57-09,21,34,58,14,57,9,9,14,21,34,57,58
3/7/2017,28-10-50-38-36-24,28,10,50,38,36,24,10,24,28,36,38,50
3/10/2017,34-27-02-17-15-38,34,27,2,17,15,38,2,15,17,27,34,38
3/12/2017,16-02-10-09-54-35,16,2,10,9,54,35,2,9,10,16,35,54
3/14/2017,06-07-19-16-36-04,6,7,19,16,36,4,4,6,7,16,19,36
3/17/2017,19-24-58-15-09-14,19,24,58,15,9,14,9,14,15,19,24,58
3/19/2017,51-48-04-39-09-19,51,48,4,39,9,19,4,9,19,39,48,51
3/21/2017,24-53-10-38-04-49,24,53,10,38,4,49,4,10,24,38,49,53
3/24/2017,30-18-43-37-09-39,30,18,43,37,9,39,9,18,30,37,39,43
3/26/2017,39-17-44-01-12-13,39,17,44,1,12,13,1,12,13,17,39,44
3/28/2017,10-21-23-06-27-09,10,21,23,6,27,9,6,9,10,21,23,27
3/31/2017,01-03-43-16-08-24,1,3,43,16,8,24,1,3,8,16,24,43
4/2/2017,22-48-57-12-33-43,22,48,57,12,33,43,12,22,33,43,48,57
4/4/2017,23-21-30-26-44-34,23,21,30,26,44,34,21,23,26,30,34,44
4/7/2017,36-49-58-46-03-02,36,49,58,46,3,2,2,3,36,46,49,58
4/9/2017,57-24-45-50-25-40,57,24,45,50,25,40,24,25,40,45,50,57
4/11/2017,51-13-06-25-15-58,51,13,6,25,15,58,6,13,15,25,51,58
