temp,humidity,pressure,slot,partofday,target
83.5,83.6,29.7,1.00,1,6
83.7,82.5,29.7,1.00,1,4
82.8,85.5,29.7,1.00,1,4
82.7,85.9,29.6,1.00,1,1
82.8,84.4,29.6,1.00,1,5
80.9,91.7,29.6,1.00,1,6
79,92.7,29.6,1.00,1,1
79,83.8,29.7,1.00,1,4
83.5,83.1,29.7,1.00,1,6
84.1,81.5,29.7,1.00,1,2
86.8,75.6,29.8,1.00,1,7
85.4,75.8,29.8,1.00,1,9
83.8,82.7,29.7,1.00,1,9
80.2,91.5,29.7,1.00,1,8
82.9,83.6,29.7,1.00,1,8
83.5,83.5,29.7,1.00,1,4
84.3,81.2,29.7,1.00,1,6
82.3,86.2,29.7,1.00,1,9
82,85.2,29.7,1.00,1,8
78.9,76.8,28.4,1.00,1,6
82.3,78.5,29.7,1.00,1,6
82.3,78.5,29.7,1.00,1,6
83.4,82,29.7,1.00,1,6
78.8,93.9,29.7,1.00,1,7
78.6,92,29.7,1.00,1,5
82,81.8,29.7,1.00,1,7
81.2,84.9,29.7,1.00,1,8
81.5,86,28.5,1.00,1,6
82.5,80.8,29.6,1.00,1,4
80.9,87.1,29.5,1.00,1,5
80.9,85.2,29.6,1.00,1,0
83.7,80.2,29.6,1.00,1,8
82.3,82.2,29.6,1.00,1,3
82.3,81.8,29.7,1.00,1,7
83.2,77.8,29.7,1.00,1,8
81.7,67.5,28.5,1.00,1,8
84.1,70.8,29.7,1.00,1,3
81.9,84.8,29.7,1.00,1,3
84.2,76.4,29.7,1.00,1,5
84.2,74.7,29.8,1.00,1,1
85.5,69,29.7,1.00,1,0
84.6,70.6,29.7,1.00,1,7
84.4,73.5,29.7,1.00,1,7
84.9,69.8,29.7,1.00,1,9
85.1,67.1,29.7,1.00,1,4
84.6,71,29.6,1.00,1,2
84.7,74.3,29.6,1.00,1,0
84.3,76.2,29.6,1.00,1,6
84.6,75.9,29.6,1.00,1,2
85.8,71.4,29.6,1.00,1,1
84.8,74.8,29.6,1.00,1,1
82.8,80.3,29.6,1.00,1,8
83.7,77,29.6,1.00,1,8
82,83.2,29.7,1.00,1,6
82,82,29.8,1.00,1,5
83.8,77.6,29.8,1.00,1,3
85.1,75,29.8,1.00,1,3
84,75.7,29.7,1.00,1,1
84.8,73.8,29.7,1.00,1,2
79.8,85.8,29.7,1.00,1,0
82,76.1,29.7,1.00,1,9
84,66,29.6,1.00,1,4
81.5,84.5,29.6,1.00,1,2
74.5,91.1,29.3,1.00,1,8
80.4,87.2,29.4,1.00,1,2
80.5,86.9,29.5,1.00,1,4
80.6,84.9,29.7,1.00,1,3
81.6,82,29.7,1.00,1,9
82.9,80,29.8,1.00,1,3
81.7,78.6,29.8,1.00,1,0
81.3,77.8,29.8,1.00,1,7
78.7,72.3,28.5,1.00,1,3
82.9,74.3,29.8,1.00,1,7
82.8,75,29.8,1.00,1,3
82.9,74.5,29.8,1.00,1,7
80.8,72.8,29.8,1.00,1,9
83.4,77.2,29.8,1.00,1,7
82.9,78.3,29.7,1.00,1,8
83.4,76.6,29.8,1.00,1,2
85,71.2,29.7,1.00,1,3
83.4,74.2,29.7,1.00,1,9
83.2,76,29.7,1.00,1,7
82.3,78.9,29.7,1.00,1,7
80.8,81.8,29.7,1.00,1,8
79.5,86.1,29.7,1.00,1,7
82,80.5,29.7,1.00,1,2
81.6,81.4,29.7,1.00,1,9
82.8,76.8,29.7,1.00,1,7
81.1,70,29.8,1.00,1,3
81.5,66.8,28.5,1.00,1,2
84.2,72.9,29.8,1.00,1,6
84.1,70.2,29.8,1.00,1,7
83.1,68,29.8,1.00,1,5
83,70.3,29.8,1.00,1,2
84.9,71,29.8,1.00,1,9
83.6,75.6,29.8,1.00,1,0
82.8,77.1,29.7,1.00,1,7
83.6,71.1,29.7,1.00,1,1
84.7,69.7,29.7,1.00,1,5
83.6,73.8,29.8,1.00,1,4
82.6,76.5,29.7,1.00,1,0
82.8,73.8,29.7,1.00,1,2
83.8,66.2,30.9,1.00,1,5
83.5,68.5,29.7,1.00,1,5
80.4,80.9,29.6,1.00,1,3
80.1,86.3,29.6,1.00,1,5
80.9,82.5,29.6,1.00,1,6
81.7,77.8,29.7,1.00,1,4
82.5,74.8,29.7,1.00,1,1
82.3,79.9,29.7,1.00,1,8
82.7,76.1,29.7,1.00,1,8
83.8,74.3,29.7,1.00,1,9
80.8,83.2,29.7,1.00,1,5
81.6,70.9,29.7,1.00,1,7
81.1,68.6,29.7,1.00,1,8
79.4,82.2,29.7,1.00,1,6
