LOTTO GAME,COMBINATIONS,SEQUENCE,JACKPOT,WINNERS,SLOT 1,SLOT 2,SLOT 3,SLOT 4,SLOT 5,SLOT 6,DATE FORMATTED
Ultra Lotto 6/58,19-51-38-17-43-04,83,50000000,0,4,17,19,38,43,51,2015-11-29
Ultra Lotto 6/58,22-28-01-43-06-13,84,50000000,0,1,6,13,22,28,43,2015-04-12
Ultra Lotto 6/58,38-33-11-25-54-41,85,50000000,0,11,25,33,38,41,54,2015-06-12
Ultra Lotto 6/58,08-55-11-33-05-10,86,50000000,0,5,8,10,11,33,55,2015-11-12
Ultra Lotto 6/58,50-52-09-33-08-31,87,50000000,0,8,9,31,33,50,52,2015-12-13
Ultra Lotto 6/58,53-30-54-41-43-26,88,50000000,0,26,30,41,43,53,54,2015-12-18
Ultra Lotto 6/58,16-07-50-03-26-53,89,50000000,0,3,7,16,26,50,53,2015-12-20
Ultra Lotto 6/58,13-27-23-11-01-09,90,50000000,0,1,9,11,13,23,27,2015-12-27
Ultra Lotto 6/58,26-10-05-24-49-12,91,50000000,1,5,10,12,24,26,49,2016-03-01
Ultra Lotto 6/58,38-35-33-08-49-52,92,50000000,0,8,33,35,38,49,52,2016-08-01
Ultra Lotto 6/58,23-54-31-05-32-03,93,50000000,0,3,5,23,31,32,54,2016-10-01
Ultra Lotto 6/58,22-16-45-56-54-39,94,50000000,0,16,22,39,45,54,56,2016-01-15
Ultra Lotto 6/58,53-19-58-38-04-27,95,50000000,0,4,19,27,38,53,58,2016-01-17
Ultra Lotto 6/58,37-14-25-09-46-31,96,50000000,0,9,14,25,31,37,46,2016-01-22
Ultra Lotto 6/58,25-43-49-57-06-13,97,50000000,0,6,13,25,43,49,57,2016-01-24
Ultra Lotto 6/58,44-12-54-33-04-53,98,50000000,0,4,12,33,44,53,54,2016-01-29
Ultra Lotto 6/58,15-20-37-29-54-16,99,50000000,0,15,16,20,29,37,54,2016-01-31
Ultra Lotto 6/58,35-06-48-58-33-50,100,50000000,0,6,33,35,48,50,58,2016-05-02
Ultra Lotto 6/58,40-55-20-13-32-23,101,50000000,0,13,20,23,32,40,55,2016-07-02
Ultra Lotto 6/58,47-30-49-27-46-42,102,50000000,0,27,30,42,46,47,49,2016-12-02
Ultra Lotto 6/58,27-34-42-21-11-38,103,50000000,0,11,21,27,34,38,42,2016-02-14
Ultra Lotto 6/58,10-03-01-51-44-13,104,50000000,0,1,3,10,13,44,51,2016-02-19
Ultra Lotto 6/58,39-33-19-21-09-55,105,50000000,0,9,19,21,33,39,55,2016-02-21
Ultra Lotto 6/58,44-58-09-41-23-35,106,50000000,0,9,23,35,41,44,58,2016-02-26
Ultra Lotto 6/58,10-13-23-11-07-09,107,50000000,0,7,9,10,11,13,23,2016-02-28
Ultra Lotto 6/58,36-41-03-06-15-26,108,50000000,0,3,6,15,26,36,41,2016-04-03
Ultra Lotto 6/58,48-37-33-34-41-50,109,50000000,0,33,34,37,41,48,50,2016-06-03
Ultra Lotto 6/58,25-07-36-39-31-30,110,50000000,0,7,25,30,31,36,39,2016-11-03
Ultra Lotto 6/58,27-12-01-11-29-52,111,50604224,0,1,11,12,27,29,52,2016-03-13
Ultra Lotto 6/58,33-04-48-44-19-38,112,53409188,0,4,19,33,38,44,48,2016-03-18
Ultra Lotto 6/58,29-08-33-46-35-21,113,55709300,0,8,21,29,33,35,46,2016-03-20
Ultra Lotto 6/58,47-25-20-44-06-55,114,58719148,0,6,20,25,44,47,55,2016-01-04
Ultra Lotto 6/58,36-39-33-01-11-50,115,60885856,0,1,11,33,36,39,50,2016-03-04
Ultra Lotto 6/58,40-41-01-25-28-44,116,63714204,0,1,25,28,40,41,44,2016-08-04
Ultra Lotto 6/58,53-48-44-04-46-11,117,65823720,0,4,11,44,46,48,53,2016-10-04
Ultra Lotto 6/58,07-53-13-50-22-01,118,68529988,0,1,7,13,22,50,53,2016-04-15
Ultra Lotto 6/58,34-19-33-39-06-49,119,71285768,0,6,19,33,34,39,49,2016-04-17
Ultra Lotto 6/58,02-51-40-33-20-13,120,74383672,0,2,13,20,33,40,51,2016-04-22
Ultra Lotto 6/58,36-35-51-38-46-30,121,77209604,0,30,35,36,38,46,51,2016-04-24
Ultra Lotto 6/58,35-56-30-46-57-08,122,80234380,0,8,30,35,46,56,57,2016-04-29
Ultra Lotto 6/58,27-41-15-52-39-04,123,83250596,0,4,15,27,39,41,52,2016-01-05
Ultra Lotto 6/58,38-23-55-17-51-08,124,86865264,0,8,17,23,38,51,55,2016-06-05
Ultra Lotto 6/58,49-52-22-01-46-41,125,89902124,0,1,22,41,46,49,52,2016-08-05
Ultra Lotto 6/58,08-12-09-50-13-46,126,93706916,0,8,9,12,13,46,50,2016-05-13
Ultra Lotto 6/58,41-21-13-52-36-06,127,97025016,0,6,13,21,36,41,52,2016-05-15
Ultra Lotto 6/58,05-42-34-49-33-52,128,101301028,0,5,33,34,42,49,52,2016-05-20
Ultra Lotto 6/58,31-40-42-51-06-18,129,104963184,0,6,18,31,40,42,51,2016-05-22
